# z xa_avg
1.000000000000000000e+01 5.238065051234546843e+01
1.016620329396443800e+01 4.907951775904577829e+01
1.033516894142133680e+01 4.587354199370872010e+01
1.050694285359564972e+01 4.281759810723320214e+01
1.068157170477202023e+01 3.985719516252309091e+01
1.085910294497706374e+01 3.704504025048199622e+01
1.103958481287247473e+01 3.434519493873171569e+01
1.122306634886239252e+01 3.175773709978966153e+01
1.140959740841862313e+01 2.931749094726850657e+01
1.159922867562735149e+01 2.698594965084311070e+01
1.179201167696095354e+01 2.477650440831199319e+01
1.198799879527875412e+01 2.268692960575592110e+01
1.218724328406045743e+01 2.070792857672523368e+01
1.238979928187613311e+01 1.884298532803603976e+01
1.259572182709673704e+01 1.709455243784430323e+01
1.280506687284906064e+01 1.545900027950976963e+01
1.301789130221930080e+01 1.393829035128224625e+01
1.323425294370927929e+01 1.252846803899956285e+01
1.345421058694958205e+01 1.122362176042633841e+01
1.367782399867380505e+01 1.002319275159045198e+01
1.390515393895834606e+01 8.922547356573028665e+00
1.413626217773209071e+01 7.916826485247009160e+00
1.437121151156047993e+01 7.003059516490202085e+00
1.461006578070857920e+01 6.175514217421691932e+00
1.485288988648766662e+01 5.429841561768206759e+00
1.509974980889020024e+01 4.763322180428717800e+00
1.535071262451783447e+01 4.167289244431646722e+00
1.560584652480746826e+01 3.637274272508544293e+00
1.586522083456011600e+01 3.167981013815322822e+00
1.612890603077782714e+01 2.753899921873717016e+00
1.639697376181364064e+01 2.388900370332926570e+00
1.666949686683982890e+01 2.069009812548438187e+00
1.694654939563968554e+01 1.787021759268645482e+00
1.722820662872832287e+01 1.540259479952479804e+00
1.751454509780777968e+01 1.324297567349579152e+00
1.780564260656220554e+01 1.136127024369242067e+00
1.810157825179862456e+01 9.722066425588608007e-01
1.840243244493901642e+01 8.295779216072380891e-01
1.870828693386970798e+01 7.056212417096615619e-01
1.901922482515380608e+01 5.983827359386177935e-01
1.933533060661288161e+01 5.056258343682890066e-01
1.965669017028391963e+01 4.256271230798613914e-01
1.998339083575787356e+01 3.568648523763152114e-01
2.031552137390604429e+01 2.979385782669143334e-01
2.065317203100085663e+01 2.476684999032738865e-01
2.099643455323749919e+01 2.049026298253945888e-01
2.134540221166318119e+01 1.687195780163977810e-01
2.170016982752060031e+01 1.382586588902659785e-01
2.206083379801276223e+01 1.127041455423971050e-01
2.242749212249593427e+01 9.138544777127963203e-02
2.280024442910796267e+01 7.369635820351944089e-02
2.317919200183915507e+01 5.909294773034456244e-02
2.356443780805313537e+01 4.708484856931199197e-02
2.395608652646498982e+01 3.729060326423312699e-02
2.435424457558453426e+01 2.934937782232248035e-02
2.475902014263230200e+01 2.295198998359373327e-02
2.517052321293603612e+01 1.783904775065159320e-02
2.558886559981586473e+01 1.377320082399930215e-02
2.601416097496613489e+01 1.056131142246700093e-02
2.644652489934218309e+01 8.041154321620747406e-03
2.688607485456048707e+01 6.078504501227292509e-03
2.733293027482072546e+01 4.561445146174549804e-03
2.778721257935827538e+01 3.397335826930887072e-03
2.824904520543621445e+01 2.510698794105170085e-03
2.871855364188557758e+01 1.840598753920221972e-03
2.919586546320315534e+01 1.338583809147949341e-03
2.968111036421584714e+01 9.652074329941943628e-04
3.017442019532131425e+01 6.900133818083303491e-04
3.067592899831425868e+01 4.889321170044673946e-04
3.118577304280816165e+01 3.433354442285154145e-04
3.170409086326235126e+01 2.388330079796590157e-04
3.223102329662455645e+01 1.645465482270622778e-04
3.276671352059890552e+01 1.122442849939930771e-04
3.331130709255015176e+01 7.579545601298112137e-05
3.386495198905442550e+01 5.065060829432434654e-05
3.442779864610726293e+01 3.349047452652886272e-05
3.500000000000000000e+01 2.190855837703057436e-05
